skills,experience,salary,location,job_interest,sector,education_level,job_id
"Crop Management, Irrigation, Agro-tech, Tractor Operation",1,74753,Relizane,Agriculture,Agriculture,Ingénieur,11018
"Supply Chain, Inventory Management, Fleet Management",1,122317,Ghardaia,Logistics,Supply Chain,No Formal Education,11019
"Design, Blueprint Reading, AutoCAD, Project Management, MATLAB",1,49715,Tipaza,Engineering,Engineering,High School,11020
"Networking, Security, Linux, Virtualization",6,111756,Skikda,System Administration,Information Technology,High School,11021
"React, WordPress, Responsive Design",10,151493,Batna,Web Development,Information Technology,Bachelor's,11022
"CSS, React, HTML, Responsive Design, WordPress",4,130668,Setif,Web Development,Information Technology,Doctorate,11023
"Routing, Inventory Management, Warehouse Ops, Supply Chain, Fleet Management",1,50504,Ouargla,Logistics,Supply Chain,Bachelor's,11024
"Legal Research, Litigation, Case Management, Regulatory Compliance, Negotiation",2,71195,Ouargla,Legal,Legal,Technical Diploma,11025
"Site Management, Masonry, Plumbing, Blueprint Reading, Safety Procedures",9,106615,Tizi Ouzou,Construction,Construction,Ingénieur,11026
"Branding, Analytics, SEO, Content Creation",2,54847,Relizane,Marketing,Business,High School,11027
"Risk Management, Accounting, Auditing, Excel, Budgeting, Investment",2,75942,Oran,Finance,Business,No Formal Education,11028
"UI/UX, Graphic Design, Illustrator",11,179002,M'Sila,Art & Design,Creative,Ingénieur,11029
"Agro-tech, Tractor Operation, Pest Control, Irrigation, Soil Testing",2,159507,Oran,Agriculture,Agriculture,Technical Diploma,11030
"SEO, Analytics, Content Creation, Google Ads, Copywriting",1,102040,Tlemcen,Marketing,Business,Technical Diploma,11031
"Ethical Hacking, Forensics, Firewalls",1,101941,Blida,Cybersecurity,Information Technology,High School,11032
"TensorFlow, Python, Statistics, R",4,140637,M'Sila,Data Science,Information Technology,High School,11033
"Java, Python, JavaScript",3,124160,Bordj Bou Arreridj,Software Engineering,Information Technology,High School,11034
"Carpentry, Safety Procedures, Blueprint Reading, Masonry, Plumbing",1,164952,Bejaia,Construction,Construction,High School,11035
"Regulatory Compliance, Legal Research, Contracts, Litigation, Case Management, Negotiation",2,52785,Mostaganem,Legal,Legal,High School,11036
"Git, Java, Python",1,151569,Batna,Software Engineering,Information Technology,No Formal Education,11037
"Customer Service, Front Desk, Food Safety, Reservation Systems",4,39140,Constantine,Hospitality,Tourism & Hospitality,High School,11038
"Contracts, Case Management, Regulatory Compliance, Legal Research",3,152267,Annaba,Legal,Legal,Ingénieur,11039
"Content Creation, Social Media, Branding, SEO, Copywriting",5,87392,Ouargla,Marketing,Business,High School,11040
"Mentoring, E-Learning, Curriculum Design",9,95434,Sidi Bel Abbès,Education,Education,Bachelor's,11041
"Assessment, Curriculum Design, Teaching",11,82633,Skikda,Education,Education,Technical Diploma,11042
"Mentoring, Curriculum Design, E-Learning",4,138156,Constantine,Education,Education,Ingénieur,11043
"Litigation, Contracts, Legal Research",2,57337,Setif,Legal,Legal,Master's,11044
"Scripting, Linux, Networking, Security, Windows Server",6,152538,M'Sila,System Administration,Information Technology,High School,11045
"Scripting, Linux, Security",3,119160,M'Sila,System Administration,Information Technology,High School,11046
"Graphic Design, Creativity, 3D Modeling, Photoshop",5,55294,Ouargla,Art & Design,Creative,Ingénieur,11047
"Regulatory Compliance, Legal Research, Contracts",2,47564,Relizane,Legal,Legal,High School,11048
"Lead Generation, CRM, Customer Service, Negotiation, Cold Calling",9,49753,Tipaza,Sales,Business,Bachelor's,11049
"Firewalls, SIEM, Forensics, Ethical Hacking, Penetration Testing",13,88260,Ouargla,Cybersecurity,Information Technology,Technical Diploma,11050
"Front Desk, Food Safety, Customer Service, Event Planning",8,80299,Setif,Hospitality,Tourism & Hospitality,Bachelor's,11051
"Creativity, Graphic Design, Illustrator",8,99520,Tizi Ouzou,Art & Design,Creative,Technical Diploma,11052
"Creativity, Graphic Design, Photoshop, 3D Modeling",3,90904,Biskra,Art & Design,Creative,No Formal Education,11053
"Regulatory Compliance, Case Management, Legal Research, Negotiation, Litigation",7,63562,Mostaganem,Legal,Legal,Ingénieur,11054
"SolidWorks, Blueprint Reading, AutoCAD, Project Management, Design",2,100155,Tipaza,Engineering,Engineering,Master's,11055
"WordPress, React, CSS, Node.js",1,105505,Biskra,Web Development,Information Technology,Ingénieur,11056
"Lead Generation, Customer Service, Cold Calling, Sales Forecasting, CRM",10,87089,Relizane,Sales,Business,Doctorate,11057
"Customer Service, Negotiation, Lead Generation, Cold Calling, Sales Forecasting, CRM",7,79689,Ouargla,Sales,Business,Bachelor's,11058
"Copywriting, Branding, Content Creation",1,134808,Bordj Bou Arreridj,Marketing,Business,Doctorate,11059
"Irrigation, Agro-tech, Crop Management, Soil Testing",5,46385,Sidi Bel Abbès,Agriculture,Agriculture,Technical Diploma,11060
"Branding, Copywriting, SEO, Analytics",1,90672,Bejaia,Marketing,Business,Doctorate,11061
"Agro-tech, Irrigation, Tractor Operation, Soil Testing, Crop Management",1,53720,Tlemcen,Agriculture,Agriculture,Ingénieur,11062
"Curriculum Design, E-Learning, Assessment, Teaching, Classroom Management",1,53913,Tipaza,Education,Education,Doctorate,11063
"Front Desk, Event Planning, Customer Service",2,67113,Biskra,Hospitality,Tourism & Hospitality,No Formal Education,11064
"Inventory Management, Fleet Management, Routing, Warehouse Ops, Supply Chain",1,74170,Bordj Bou Arreridj,Logistics,Supply Chain,High School,11065
"SEO, Google Ads, Branding, Copywriting, Analytics",4,68151,Constantine,Marketing,Business,High School,11066
"Safety Procedures, Masonry, Plumbing",2,62949,Bejaia,Construction,Construction,Ingénieur,11067
"Medical Terminology, Patient Care, Anatomy, EMR, Phlebotomy, CPR",2,98393,Ouargla,Healthcare,Health,Doctorate,11068
"Django, C++, Spring, Python, REST, SQL",6,130158,Oran,Software Engineering,Information Technology,Master's,11069
"Git, SQL, Python, Spring",1,152058,Blida,Software Engineering,Information Technology,No Formal Education,11070
"Pandas, Machine Learning, R, Statistics",3,79678,Bordj Bou Arreridj,Data Science,Information Technology,No Formal Education,11071
"Analytics, Social Media, SEO, Content Creation, Copywriting",14,71372,Batna,Marketing,Business,Technical Diploma,11072
"Google Ads, Content Creation, Social Media",1,120860,Biskra,Marketing,Business,Master's,11073
"Irrigation, Tractor Operation, Pest Control, Crop Management, Agro-tech, Soil Testing",2,79356,Chlef,Agriculture,Agriculture,Ingénieur,11074
"Pest Control, Irrigation, Tractor Operation, Soil Testing, Crop Management, Agro-tech",5,53401,Ghardaia,Agriculture,Agriculture,Master's,11075
"Django, Java, Python, Git",6,103791,Relizane,Software Engineering,Information Technology,High School,11076
"Legal Research, Contracts, Case Management, Litigation, Regulatory Compliance",4,81234,Relizane,Legal,Legal,No Formal Education,11077
"Illustrator, 3D Modeling, Graphic Design",12,111100,Mostaganem,Art & Design,Creative,Master's,11078
"Crop Management, Irrigation, Pest Control, Soil Testing, Agro-tech",12,89704,Ouargla,Agriculture,Agriculture,Doctorate,11079
"Front Desk, Customer Service, Event Planning, Reservation Systems",1,157429,Sidi Bel Abbès,Hospitality,Tourism & Hospitality,Doctorate,11080
"Photoshop, Creativity, Illustrator, Graphic Design, UI/UX, 3D Modeling",9,57968,Bejaia,Art & Design,Creative,Ingénieur,11081
"Branding, Content Creation, Copywriting, Google Ads, Analytics",1,76599,Tizi Ouzou,Marketing,Business,No Formal Education,11082
"Windows Server, Virtualization, Networking, Linux, Security",4,82938,Algiers,System Administration,Information Technology,High School,11083
"C++, Git, Django, REST, JavaScript, Java",1,116741,Constantine,Software Engineering,Information Technology,Ingénieur,11084
"TensorFlow, Pandas, Data Visualization, Python",6,56590,Chlef,Data Science,Information Technology,No Formal Education,11085
"Fleet Management, Warehouse Ops, Supply Chain",5,88901,Bordj Bou Arreridj,Logistics,Supply Chain,Technical Diploma,11086
"Food Safety, Event Planning, Customer Service, Reservation Systems",1,139362,Constantine,Hospitality,Tourism & Hospitality,Technical Diploma,11087
"Photoshop, Creativity, 3D Modeling, Illustrator, Graphic Design, UI/UX",2,61736,Ghardaia,Art & Design,Creative,Doctorate,11088
"SEO, Google Ads, Copywriting",1,61263,Sidi Bel Abbès,Marketing,Business,No Formal Education,11089
"CSS, Node.js, WordPress, Responsive Design, JavaScript",13,117129,Biskra,Web Development,Information Technology,Ingénieur,11090
"Scripting, Networking, Virtualization, Linux, Security, Windows Server",1,123140,Chlef,System Administration,Information Technology,Ingénieur,11091
"Supply Chain, Routing, Warehouse Ops",13,114180,Ghardaia,Logistics,Supply Chain,No Formal Education,11092
"Accounting, Auditing, Risk Management, Investment, Financial Analysis",4,61099,Tizi Ouzou,Finance,Business,Technical Diploma,11093
"Agro-tech, Pest Control, Crop Management, Irrigation, Tractor Operation",2,136158,Batna,Agriculture,Agriculture,High School,11094
"Supply Chain, Inventory Management, Warehouse Ops, Routing, Fleet Management",2,73425,Tizi Ouzou,Logistics,Supply Chain,Master's,11095
"Phlebotomy, CPR, EMR, Patient Care, Anatomy",1,109848,Constantine,Healthcare,Health,High School,11096
"Routing, Warehouse Ops, Fleet Management, Supply Chain, Inventory Management",1,85543,Algiers,Logistics,Supply Chain,Doctorate,11097
"Accounting, Risk Management, Investment, Financial Analysis, Auditing",13,105230,M'Sila,Finance,Business,High School,11098
"Project Management, SolidWorks, AutoCAD, Design, MATLAB",4,64034,Relizane,Engineering,Engineering,Bachelor's,11099
"Pandas, Data Visualization, SQL, Statistics",2,151018,Bordj Bou Arreridj,Data Science,Information Technology,Master's,11100
"Financial Analysis, Auditing, Budgeting, Risk Management, Accounting, Investment",1,94549,Constantine,Finance,Business,Bachelor's,11101
"AutoCAD, Design, SolidWorks",2,83385,Tizi Ouzou,Engineering,Engineering,Master's,11102
"Tractor Operation, Soil Testing, Pest Control",4,92276,Algiers,Agriculture,Agriculture,Bachelor's,11103
"Design, AutoCAD, SolidWorks, Project Management, Blueprint Reading, MATLAB",8,157770,Relizane,Engineering,Engineering,Ingénieur,11104
"Irrigation, Pest Control, Agro-tech, Crop Management",8,90141,Blida,Agriculture,Agriculture,High School,11105
"React, WordPress, Node.js, JavaScript, Responsive Design",1,107138,Mostaganem,Web Development,Information Technology,Technical Diploma,11106
"3D Modeling, UI/UX, Graphic Design, Creativity",5,60077,Bordj Bou Arreridj,Art & Design,Creative,Master's,11107
"Warehouse Ops, Fleet Management, Routing",1,130442,Biskra,Logistics,Supply Chain,Doctorate,11108
"Machine Learning, Python, TensorFlow, Data Visualization",6,194724,Bejaia,Data Science,Information Technology,High School,11109
"Risk Management, Auditing, Investment, Excel, Financial Analysis",7,115298,Tizi Ouzou,Finance,Business,Technical Diploma,11110
"Branding, Google Ads, Copywriting",12,64223,Bordj Bou Arreridj,Marketing,Business,Bachelor's,11111
"Fleet Management, Warehouse Ops, Inventory Management, Routing",9,139619,Oran,Logistics,Supply Chain,Master's,11112
"WordPress, HTML, Responsive Design, JavaScript, CSS, React",2,111313,M'Sila,Web Development,Information Technology,Ingénieur,11113
"Investment, Budgeting, Accounting, Excel, Auditing, Financial Analysis",4,139317,Skikda,Finance,Business,Master's,11114
"EMR, Anatomy, CPR",12,162945,Biskra,Healthcare,Health,No Formal Education,11115
"Accounting, Excel, Budgeting, Financial Analysis",2,86971,Blida,Finance,Business,No Formal Education,11116
"UI/UX, 3D Modeling, Graphic Design, Creativity, Photoshop, Illustrator",9,38231,Sidi Bel Abbès,Art & Design,Creative,No Formal Education,11117
"Java, Django, C++, REST, SQL",8,45606,Constantine,Software Engineering,Information Technology,High School,11118
"Scripting, Virtualization, Networking",15,65980,Constantine,System Administration,Information Technology,Doctorate,11119
"Litigation, Negotiation, Contracts, Regulatory Compliance, Case Management",4,73806,M'Sila,Legal,Legal,Bachelor's,11120
"CRM, Cold Calling, Lead Generation, Sales Forecasting",15,101810,Ghardaia,Sales,Business,Ingénieur,11121
"CRM, Negotiation, Cold Calling, Sales Forecasting, Lead Generation",1,87013,Batna,Sales,Business,Doctorate,11122
"Phlebotomy, Patient Care, EMR, Anatomy, CPR, Medical Terminology",1,104414,Ouargla,Healthcare,Health,High School,11123
"Event Planning, Customer Service, Reservation Systems",3,67008,Tlemcen,Hospitality,Tourism & Hospitality,Technical Diploma,11124
"Assessment, Classroom Management, Mentoring",1,175987,Ouargla,Education,Education,Technical Diploma,11125
"Reservation Systems, Event Planning, Front Desk, Food Safety, Customer Service",5,95479,Biskra,Hospitality,Tourism & Hospitality,Master's,11126
"Sales Forecasting, Negotiation, CRM, Cold Calling",4,62799,Annaba,Sales,Business,Master's,11127
"WordPress, JavaScript, Node.js, HTML, React",12,98671,Tlemcen,Web Development,Information Technology,Master's,11128
"R, SQL, Machine Learning",4,65791,Sidi Bel Abbès,Data Science,Information Technology,High School,11129
"Litigation, Case Management, Negotiation, Legal Research, Contracts",10,108049,Mostaganem,Legal,Legal,Master's,11130
"Negotiation, Cold Calling, Lead Generation, Sales Forecasting, CRM",5,62220,Algiers,Sales,Business,Bachelor's,11131
"Mentoring, Assessment, Curriculum Design",1,85588,Ouargla,Education,Education,Doctorate,11132
"Routing, Supply Chain, Inventory Management, Warehouse Ops, Fleet Management",2,86280,Annaba,Logistics,Supply Chain,Master's,11133
"Inventory Management, Supply Chain, Fleet Management, Warehouse Ops, Routing",1,101021,Bejaia,Logistics,Supply Chain,Technical Diploma,11134
"Fleet Management, Inventory Management, Supply Chain, Warehouse Ops, Routing",4,71745,Bejaia,Logistics,Supply Chain,Doctorate,11135
"Front Desk, Food Safety, Reservation Systems, Event Planning, Customer Service",12,74862,Biskra,Hospitality,Tourism & Hospitality,Doctorate,11136
"Front Desk, Reservation Systems, Food Safety, Event Planning, Customer Service",15,73243,Setif,Hospitality,Tourism & Hospitality,Technical Diploma,11137
"Safety Procedures, Plumbing, Site Management, Carpentry",10,90371,Blida,Construction,Construction,Technical Diploma,11138
"Warehouse Ops, Fleet Management, Inventory Management",6,137390,Chlef,Logistics,Supply Chain,Technical Diploma,11139
"Classroom Management, Mentoring, Curriculum Design, Assessment, Teaching, E-Learning",5,183703,Tipaza,Education,Education,Doctorate,11140
"Lead Generation, Customer Service, CRM, Cold Calling, Sales Forecasting",1,82664,Annaba,Sales,Business,Doctorate,11141
"Supply Chain, Fleet Management, Routing, Warehouse Ops, Inventory Management",1,62513,Bejaia,Logistics,Supply Chain,Bachelor's,11142
"Node.js, Responsive Design, HTML, CSS, JavaScript",4,144215,Oran,Web Development,Information Technology,Doctorate,11143
"SIEM, Forensics, Firewalls, Network Security, Ethical Hacking",5,134323,Bejaia,Cybersecurity,Information Technology,Technical Diploma,11144
"Legal Research, Regulatory Compliance, Litigation",15,84993,Biskra,Legal,Legal,Master's,11145
